timestamp,date,time,location,operator,flight#,route,aircraft_type,aircraft_reg,cn_ln,total_onboard,passenger_onboard,crew_onboard,total_fatalities,passenger_fatalities,crew_fatalities,ground_casualties,summary_of_events
1935-05-18 00:45:00+00:00,05/18/1935,00:45,"Near Moscow, Russia",Gor'ky Eskadril'ya,,Demonstration,Tupolev ANT-20 / I-5,CCCP-I20,,50.0,37.0,13.0,50.0,37.0,13.0,2.0,"Midair collision with an I-5 fighter at 2,300 ft. The fighter was performing aerobatics trying to loop around the Tupolev. The plane crashed into a residental neighborhood and was on its maiden flight. The plane was nicknamed ""Maxim Gorky.""  Pilot error. Forty-nine killed on the Tupolev, one on the I-5"
1937-05-06 19:25:00+00:00,05/06/1937,19:25,"Lakehurst, New Jersey",Deutsche Zeppelin Reederei,LZ 129,Frankfurt - Lakehurst N.J.,Zeppelin LZ-129,D-LZ-129,D-LZ129,97.0,36.0,61.0,35.0,13.0,22.0,1.0,"The airship Hindenburg caught fire and burned while being moored at Lakehurst, New Jersey.  Possible causes were static discharge which ignited leaking hydrogen or sabotage. It has been theorized that a sudden turn just before landing caused a steel cable to snap which punctured one of the hydrogen airbags. Thereafter, when mooring ropes were dropped to the ground, the cage was discharged setting up a static discharge between the Hindenburg's outer skin and frame causing the hydrogen to ignite."
1940-08-31 14:41:00+00:00,08/31/1940,14:41,"Near Lovettsville, Virginia",Pennsylvania Central Airlines,19,Washington D.C. - Detroit,Douglas DC-3,NC21789,2188,25.0,21.0,4.0,25.0,21.0,4.0,0.0,"The aircraft was flying through a thunderstorm in turbulence when the it nosed over and plunged to earth near Short Hill Mountain.  Disabling of the pilots by a severe lightning discharge in the immediate neighborhood of the airplane, with resulting loss of control. With limited accident investigation tools at the time, the most likely cause was the plane flying into windshear.  U.S. Senator Ernest Lundeen from Minnesota killed."
1940-11-08 15:02:00+00:00,11/08/1940,15:02,"Brandenburg, Germany",Deutsche Lufthansa,,Berlin - Budapest,Junkers JU-90A-1,D-AVMF,900010,29.0,23.0,6.0,29.0,23.0,6.0,0.0,Crashed while en route in poor weather condtions . Icing.
1941-07-30 09:15:00+00:00,07/30/1941,09:15,"Rome, Italy",Ala Littoria,,Rome - Cagliari,Macchi C.100,I-PACE,4158,25.0,20.0,5.0,5.0,5.0,0.0,0.0,After an engine failed the crew decided to return but encountered turbulence and crashed.
1941-11-29 05:55:00+00:00,11/29/1941,05:55," Chardzhou, Turkmenistan",Aeroflot,,Chardzhou - Urgench,Tupolev ANT-6,CP-L2010,61,36.0,31.0,5.0,7.0,5.0,2.0,0.0,"During the initial climb at night, the pilot in command suffered a spatial disorientation stalled the plane and crashed."
1941-12-26 11:26:00+00:00,12/26/1941,11:26," Baiserke, Kazakhstan",Aeroflot,,Almaty - Karaganda - Aktyubinsk - Kuybyshev - Kazan,Tupolev ANT-6,CCCP-L3043,22182,34.0,28.0,6.0,26.0,21.0,5.0,0.0,"The crew decided to takeoff in below-minima weather conditions with low clouds, fog, turbulences and severe icing. While attempting to return to the airport the aircraft lost altitude and crashed into a field."
1942-10-03 19:05:00+00:00,10/03/1942,19:05,"Botwood, Newfoundland",American Export Airlines,71,"New York - Botwood - Foynes, Ireland",Sirkorsky 44A (flying boat),NC41880,4401,37.0,26.0,11.0,11.0,6.0,5.0,0.0,"While attempting to takeoff, aircraft porpoised, attained a height of 35 ft. and then crashed into the water and broke up. Inadvertent actuation of the wing flaps to the full 35 degrees position during the take-off run, thereby rendering the aircraft excessively nose-heavy and uncontrollable."
,12/12/1942,,"Near Tashkent, Russia",Aeroflot,,Chardzhou - Tashkent,Tupolev A.N.T. 20bis,SSSR-L-760,,36.0,30.0,6.0,36.0,30.0,6.0,0.0,"While attempting to land, the attitude of the plane became almost vertical after which it dove into the ground and exploded. It was reported that after the captain left his seat a passenger disengaged the autopilot and assumed control of the plane."
,01/15/1943,,"Near Paramarino, Dutch Guyana",Military - U.S. Army Air Forces,,,Douglas C-54A,42-32939,3114,35.0,26.0,9.0,35.0,26.0,9.0,0.0,Exploded in mid-air and crashed along the coast of South American while en route to Africa.
1943-01-18 23:00:00+00:00,01/18/1943,23:00,"Off the Brazilian coast,  Atlantic Ocean",Military - U.S. Army Air Forces,,"Accra, Ghana - Natal, Brazil",Consolidated C-87,41-1708,204,26.0,20.0,6.0,26.0,20.0,6.0,0.0,Disappeared while en route. Life boats with dead bodies found 100 km away.
1943-02-22 06:47:00+00:00,02/22/1943,06:47,"Lisbon, Portugal",Pan American World Airways,9035,New York - Hamilton - Horta - Lisbon - Marseille,Boeing B-314 (flying boat),NC18603,1990,39.0,33.0,6.0,25.0,20.0,5.0,0.0,"Crashed into the Tagus River in poor weather while attempting to land. Inadvertent contact of the left wing tip of the aircraft with the water while making a descending turn preparatory to landing. The aircraft was named the Yankee Clipper.  Novelist Ben Robertson and singer, actress Tamara Drasin, 34, among those killed. Actress Jane Froman seriously injured. She later divorced her husband and married the co-pilot, who had saved her life despite his own serious injury, but they too divorced."
